Categoria,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24
circle,0.000154622,0.000504473,0.00157172,0.000935882,0.00211124,0.00135481,0.00155612,0.00226951,0.00172905,0.000636676,0.00212091,0.00204763,0.0013047,0.00104534,0.00175248,0.00230922,0.00258686,0.00225098,0.00124571,0.00251694,0.00344403,0.00330318,0.00335216,0.000698832,0.00267575
circle,0.00883162,0.0154074,0.0150328,0.0207636,0.0142502,0.0252864,0.0118035,0.0129878,0.0291784,0.00976853,0.0113859,0.0325717,0.00630035,0.00805248,0.0096399,0.0355597,0.00420889,0.0067736,0.00795156,0.038212,0.00361576,0.00358092,0.00590165,0.00657953,0.0405818
circle,0.0175674,0.0303055,0.0272802,0.0399908,0.0212104,0.0474773,0.00797719,0.0134133,0.0533414,0.00200134,0.00506789,0.0579851,0.00960024,0.00820984,0.00320917,0.0616987,0.0106792,0.0112292,0.0110071,0.0646967,0.00619284,0.00841499,0.0116164,0.0181742,0.0671394
circle,0.0362108,0.0584196,0.0371626,0.0726769,0.0165368,0.082226,0.0186398,0.0165372,0.0889024,0.0224572,0.0307211,0.0937721,0.0113442,0.0166051,0.0434591,0.0974699,0.00981741,0.0088609,0.0536185,0.100382,0.0128992,0.014215,0.0120338,0.0615933,0.102751
circle,0.0201972,0.0310058,0.0140648,0.0361716,0.0101873,0.0382161,0.0325034,0.0266647,0.0385488,0.0336777,0.0396805,0.0379607,0.00895598,0.0237889,0.0488412,0.0369029,0.0149422,0.00984484,0.0548245,0.0356354,0.0192524,0.0263491,0.00799381,0.0583599,0.034307
circle,0.0103197,0.019135,0.02254,0.0267428,0.0234046,0.0333058,0.0181761,0.0223127,0.0389884,0.0123704,0.0199858,0.0439322,0.00577504,0.00744536,0.0169191,0.0482536,0.00407911,0.00455432,0.0134873,0.0520481,0.00516979,0.00568454,0.00507011,0.0100592,0.0553937
circle,0.00271162,0.00652964,0.0138161,0.0102161,0.0147958,0.0132828,0.00397449,0.0126676,0.0157126,0.00556871,0.0092235,0.0176101,0.0093112,0.0116558,0.00562815,0.0190935,0.00576242,0.0142049,0.0029715,0.0202604,0.00221049,0.00200441,0.0143967,0.0034436,0.0211837
circle,0.00168162,0.00268659,0.00187204,0.00342979,0.00143397,0.00405254,0.00179306,0.00121608,0.00459091,0.00219809,0.00103122,0.00505549,0.0011999,0.00199293,0.000893904,0.00545307,0.00198006,0.0018109,0.000997119,0.00579035,0.00399007,0.00356032,0.00208273,0.00140948,0.00607399
circle,0.00891307,0.016118,0.0176936,0.0222141,0.0180779,0.0275136,0.0154172,0.0176015,0.0321639,0.0123857,0.0162206,0.0362544,0.00597233,0.00830428,0.0140362,0.0398545,0.00267232,0.00395597,0.0112443,0.043024,0.00927162,0.00794526,0.00238669,0.00808414,0.0458167
circle,0.00622256,0.0111171,0.0116335,0.0151503,0.0113987,0.0186223,0.00960464,0.0108998,0.0216613,0.00836409,0.00998874,0.0243391,0.005264,0.00641391,0.00866696,0.0267046,0.00130339,0.0040441,0.0069982,0.0287961,0.00557021,0.00412177,0.00188254,0.005093,0.030646
